show_id,title,type,platform,primary_genre,imdb_rating,rotten_tomatoes_score,duration_minutes,release_year,hours_watched_million,engagement,score,release_period,total_titles,avg_imdb,avg_rt,total_hours_watched_million,avg_budget,total_awards
s15,House of Cards,TV Show,Netflix,Mystery,8.0,78,,2023,0,0,7.92,Recent,368,6.97,69.91,26928,18.61,156
s16,Shogun: Return,TV Show,HBO Max,Comedy,5.9,61,,2025,28,28,5.98,Recent,2180,6.86,68.5,152111,20.3,694
s17,The Last Journey,Movie,Apple TV+,Documentary,6.6,59,95.0,2015,10,10,6.32,Mid,1065,6.91,68.65,61809,3.64,360
s18,Beyond Forever,Movie,Disney+,Documentary,7.6,79,120.0,2020,228,228,7.72,Recent,1065,6.91,68.65,61809,3.64,360
s19,The Last Kingdom,Movie,Paramount+,Crime,7.4,69,134.0,2023,13,13,7.2,Recent,1002,6.83,68.01,65679,20.92,261
s20,Beyond the Silence,Movie,Netflix,Drama,5.8,58,86.0,2015,6,6,5.8,Mid,2832,6.82,67.28,188250,20.92,853
s21,In the Name of Love,Movie,Amazon Prime Video,Comedy,8.1,66,147.0,2021,3,3,7.5,Recent,2180,6.86,68.5,152111,20.3,694
s22,In the Depths of Night,Movie,Netflix,Action,6.1,58,136.0,2022,69,69,5.98,Recent,1078,6.78,67.18,72029,49.17,321
s23,When We Were Young,Movie,Netflix,Fantasy,6.9,68,129.0,2026,200,200,6.86,Recent,286,6.76,67.0,13827,49.88,83
s24,The Marvelous Mrs: Legacy,TV Show,Netflix,Reality TV,5.0,52,,2022,84,84,5.08,Recent,618,6.56,65.36,37974,,146
s25,A Broken Promise,Movie,Amazon Prime Video,Action,5.6,65,136.0,2024,3,3,5.96,Recent,1078,6.78,67.18,72029,49.17,321
s26,The Lincoln Lawyer,TV Show,Amazon Prime Video,Comedy,6.9,53,,2013,230,230,6.26,Mid,2180,6.86,68.5,152111,20.3,694
s27,Severance: Return,TV Show,Amazon Prime Video,Kids,4.9,46,,2025,0,0,4.78,Recent,388,6.81,67.13,28861,,114
s28,Mr. Robot,TV Show,Hulu,Crime,8.3,76,,1998,46,46,8.02,Older,1002,6.83,68.01,65679,20.92,261
s29,The Morning Show,TV Show,Amazon Prime Video,Sports,8.5,85,,2024,38,38,8.5,Recent,76,6.82,68.59,11368,,26
s30,Succession,TV Show,HBO Max,Drama,6.8,54,,2025,4,4,6.24,Recent,2832,6.82,67.28,188250,20.92,853
s31,The Marvelous Mrs,TV Show,Netflix,Crime,6.5,66,,2020,1,1,6.54,Recent,1002,6.83,68.01,65679,20.92,261
s32,In the Heart of Winter,Movie,Netflix,Fantasy,7.6,82,141.0,2023,5,5,7.84,Recent,286,6.76,67.0,13827,49.88,83
s33,Wednesday,TV Show,Amazon Prime Video,Reality TV,8.5,99,,1995,0,0,9.06,Older,618,6.56,65.36,37974,,146
s34,In the Heart of Winter,Movie,Netflix,Comedy,5.5,62,95.0,2009,3,3,5.78,Mid,2180,6.86,68.5,152111,20.3,694
s35,When Night Comes,Movie,HBO Max,Comedy,6.5,66,93.0,2024,0,0,6.54,Recent,2180,6.86,68.5,152111,20.3,694
s36,The Last Dance,Movie,Hulu,Sci-Fi,9.0,79,110.0,2023,13,13,8.56,Recent,873,6.85,68.19,83711,48.59,303
s37,The Witcher: Legacy,TV Show,HBO Max,Kids,6.8,48,,2016,149,149,6.0,Recent,388,6.81,67.13,28861,,114
s38,A Distant Memory,Movie,Amazon Prime Video,Action,7.2,60,114.0,2003,1,1,6.72,Older,1078,6.78,67.18,72029,49.17,321
s39,In the Name of Love,Movie,HBO Max,Action,6.3,53,153.0,2024,318,318,5.9,Recent,1078,6.78,67.18,72029,49.17,321
s40,The Morning Show,TV Show,Paramount+,Thriller,7.5,90,,2020,8,8,8.1,Recent,1155,6.79,67.52,83691,20.39,367
s41,Reacher,TV Show,Paramount+,Drama,7.0,74,,2025,9,9,7.16,Recent,2832,6.82,67.28,188250,20.92,853
s42,Bridgerton,TV Show,Amazon Prime Video,Animation,6.6,83,,2021,105,105,7.28,Recent,876,6.8,67.75,72738,52.61,267
s43,The Last of Us,TV Show,Amazon Prime Video,Drama,5.4,49,,2020,2,2,5.2,Recent,2832,6.82,67.28,188250,20.92,853
s44,Severance,TV Show,Netflix,Documentary,7.0,76,,2008,24,24,7.24,Mid,1065,6.91,68.65,61809,3.64,360
s45,In the Depths of Night,Movie,Peacock,Comedy,5.4,55,40.0,2024,1,1,5.44,Recent,2180,6.86,68.5,152111,20.3,694
s46,The Diplomat: Legacy,TV Show,Amazon Prime Video,Kids,6.4,64,,2026,1,1,6.4,Recent,388,6.81,67.13,28861,,114
s47,A Silent Echo,Movie,HBO Max,Comedy,6.2,64,156.0,2017,1,1,6.28,Recent,2180,6.86,68.5,152111,20.3,694
s48,The Gentlemen: Revenge,TV Show,Netflix,Crime,8.1,59,,2016,37,37,7.22,Recent,1002,6.83,68.01,65679,20.92,261
s49,The Last Light,Movie,Amazon Prime Video,Romance,7.2,54,81.0,2022,918,918,6.48,Recent,590,6.8,67.26,45855,19.1,187
s50,Between Lives,Movie,HBO Max,Fantasy,8.3,85,64.0,2017,15,15,8.38,Recent,286,6.76,67.0,13827,49.88,83
s51,A Broken Promise,Movie,Apple TV+,Sci-Fi,7.0,72,128.0,2011,18,18,7.08,Mid,873,6.85,68.19,83711,48.59,303
s52,Between Two Worlds,Movie,JioCinema,Animation,6.2,70,77.0,2017,0,0,6.52,Recent,876,6.8,67.75,72738,52.61,267
s53,Echoes,Movie,Paramount+,Animation,6.4,52,118.0,2022,42,42,5.92,Recent,876,6.8,67.75,72738,52.61,267
s54,Between Tomorrow and Never,Movie,HBO Max,Action,8.1,77,102.0,2011,0,0,7.94,Mid,1078,6.78,67.18,72029,49.17,321
s55,When We Were Young,Movie,Netflix,Drama,7.4,69,113.0,2009,0,0,7.2,Mid,2832,6.82,67.28,188250,20.92,853
s56,Ted Lasso,TV Show,HBO Max,Animation,7.6,73,,2016,0,0,7.48,Recent,876,6.8,67.75,72738,52.61,267
s57,Beyond Forever,Movie,HBO Max,Romance,7.7,82,157.0,2012,8,8,7.9,Mid,590,6.8,67.26,45855,19.1,187
s58,A Distant Memory,Movie,HBO Max,Animation,4.3,53,103.0,2018,67,67,4.7,Recent,876,6.8,67.75,72738,52.61,267
s59,Between Tomorrow and Never,Movie,Netflix,Animation,6.1,69,108.0,2022,18,18,6.42,Recent,876,6.8,67.75,72738,52.61,267
s60,In the Depths of Night,Movie,Netflix,Comedy,5.9,59,97.0,2026,5,5,5.9,Recent,2180,6.86,68.5,152111,20.3,694
s61,Fallout,TV Show,Netflix,Drama,6.4,68,,2020,28,28,6.56,Recent,2832,6.82,67.28,188250,20.92,853
s62,Lupin: Revenge,TV Show,JioCinema,Drama,8.2,87,,2017,44,44,8.4,Recent,2832,6.82,67.28,188250,20.92,853
s63,Vertigo,Movie,Disney+,Drama,7.6,77,127.0,2016,0,0,7.64,Recent,2832,6.82,67.28,188250,20.92,853
s64,Between Tomorrow and Never,Movie,Amazon Prime Video,Drama,5.0,33,110.0,2008,0,0,4.32,Mid,2832,6.82,67.28,188250,20.92,853
s65,The Pilgrim,Movie,Amazon Prime Video,Romance,6.8,83,146.0,2024,8,8,7.4,Recent,590,6.8,67.26,45855,19.1,187
s66,The Diplomat,TV Show,Amazon Prime Video,Sci-Fi,7.5,74,,2014,238,238,7.46,Mid,873,6.85,68.19,83711,48.59,303
s67,Wednesday,TV Show,Netflix,Anime,6.9,63,,2024,12,12,6.66,Recent,287,6.84,67.46,28260,,88
s68,The Last of Us: Uprising,TV Show,Amazon Prime Video,Reality TV,6.4,61,,2023,5,5,6.28,Recent,618,6.56,65.36,37974,,146
s69,A Silent Echo,Movie,Netflix,Romance,5.8,64,135.0,2016,3,3,6.04,Recent,590,6.8,67.26,45855,19.1,187
s70,The Lincoln Lawyer,TV Show,Disney+,Drama,8.0,77,,2022,30,30,7.88,Recent,2832,6.82,67.28,188250,20.92,853
s71,In the Depths of Night,Movie,Paramount+,Comedy,6.0,54,103.0,2018,1,1,5.76,Recent,2180,6.86,68.5,152111,20.3,694
s72,When the Stars Fall,Movie,Hulu,Comedy,6.8,63,115.0,1995,3,3,6.6,Older,2180,6.86,68.5,152111,20.3,694
s73,Kingdom: Return,TV Show,Hulu,Anime,7.1,62,,2016,3,3,6.74,Recent,287,6.84,67.46,28260,,88
s74,The Last of Us: Revenge,TV Show,Amazon Prime Video,Documentary,5.4,56,,2026,6,6,5.48,Recent,1065,6.91,68.65,61809,3.64,360
s75,A Broken Promise,Movie,Disney+,Comedy,6.0,54,85.0,2025,1,1,5.76,Recent,2180,6.86,68.5,152111,20.3,694
s76,A Silent Echo,Movie,Amazon Prime Video,Thriller,7.0,67,107.0,2020,2,2,6.88,Recent,1155,6.79,67.52,83691,20.39,367
s77,The Empress,TV Show,Amazon Prime Video,Comedy,7.6,64,,2022,84,84,7.12,Recent,2180,6.86,68.5,152111,20.3,694
s78,A Fragile Heart,Movie,Disney+,Comedy,7.5,66,112.0,2022,68,68,7.14,Recent,2180,6.86,68.5,152111,20.3,694
s79,The Crown,TV Show,Hulu,Comedy,7.3,76,,2022,33,33,7.42,Recent,2180,6.86,68.5,152111,20.3,694
s80,Beyond Reality,Movie,Hulu,War,7.2,73,101.0,2013,609,609,7.24,Mid,102,6.88,68.19,7395,18.04,32
s81,Between Lines,Movie,Amazon Prime Video,Animation,7.3,74,87.0,1994,5,5,7.34,Older,876,6.8,67.75,72738,52.61,267
s82,House of Cards,TV Show,HBO Max,Comedy,7.9,63,,2022,0,0,7.26,Recent,2180,6.86,68.5,152111,20.3,694
s83,Paradox,Movie,Crunchyroll,Romance,6.5,53,80.0,2020,3,3,6.02,Recent,590,6.8,67.26,45855,19.1,187
s84,House of Cards,TV Show,Amazon Prime Video,Game Show,7.8,66,,2004,10,10,7.32,Older,139,6.78,66.91,8621,,32
s85,The White Lotus: Return,TV Show,JioCinema,Anime,7.7,86,,2002,0,0,8.06,Older,287,6.84,67.46,28260,,88
s86,Kingdom: Return,TV Show,Peacock,Drama,8.3,83,,2010,1,1,8.3,Mid,2832,6.82,67.28,188250,20.92,853
s87,In the Shadow of Giants,Movie,Apple TV+,Action,5.3,55,168.0,2021,4,4,5.38,Recent,1078,6.78,67.18,72029,49.17,321
s88,Eclipse,Movie,Netflix,Mystery,7.3,58,60.0,1995,1,1,6.7,Older,368,6.97,69.91,26928,18.61,156
s89,The Marvelous Mrs,TV Show,Amazon Prime Video,Documentary,5.5,55,,2018,9,9,5.5,Recent,1065,6.91,68.65,61809,3.64,360
s90,The Last Journey,Movie,Amazon Prime Video,Horror,5.3,42,92.0,2005,37,37,4.86,Older,519,6.55,64.52,39706,21.33,128
s91,When Love Breaks,Movie,Hulu,Drama,8.0,78,83.0,2017,0,0,7.92,Recent,2832,6.82,67.28,188250,20.92,853
s92,Ozark,TV Show,HBO Max,Animation,7.2,71,,2017,1,1,7.16,Recent,876,6.8,67.75,72738,52.61,267
s93,Fallout,TV Show,Apple TV+,Comedy,7.0,64,,2012,0,0,6.76,Mid,2180,6.86,68.5,152111,20.3,694
s94,The Astronaut,Movie,HBO Max,Sci-Fi,6.3,69,89.0,2026,14,14,6.54,Recent,873,6.85,68.19,83711,48.59,303
s95,Money Heist,TV Show,Netflix,Crime,7.3,77,,2019,35,35,7.46,Recent,1002,6.83,68.01,65679,20.92,261
s96,Wednesday: Legacy,TV Show,Peacock,Crime,5.6,68,,2023,466,466,6.08,Recent,1002,6.83,68.01,65679,20.92,261
s97,In the Heart of Winter,Movie,Amazon Prime Video,Fantasy,8.3,85,118.0,2021,18,18,8.38,Recent,286,6.76,67.0,13827,49.88,83
s98,Beyond Shadows,Movie,Disney+,Drama,6.3,68,112.0,2022,17,17,6.5,Recent,2832,6.82,67.28,188250,20.92,853
s99,The Last Whisper,Movie,Amazon Prime Video,Drama,7.8,73,120.0,2023,1,1,7.6,Recent,2832,6.82,67.28,188250,20.92,853
s100,In the Heart of Winter,Movie,Netflix,Sci-Fi,6.3,57,159.0,2016,9,9,6.06,Recent,873,6.85,68.19,83711,48.59,303
s101,The Night Agent,TV Show,Peacock,Documentary,5.9,71,,2018,13,13,6.38,Recent,1065,6.91,68.65,61809,3.64,360
s102,Between Tomorrow and Never,Movie,Paramount+,War,5.6,74,142.0,2018,1,1,6.32,Recent,102,6.88,68.19,7395,18.04,32
s103,The Hunter,Movie,Peacock,Comedy,6.5,73,110.0,2025,27,27,6.82,Recent,2180,6.86,68.5,152111,20.3,694
s104,Vertigo,Movie,Amazon Prime Video,Drama,7.0,76,95.0,2025,70,70,7.24,Recent,2832,6.82,67.28,188250,20.92,853
s105,The Astronaut,Movie,Paramount+,Action,5.5,49,97.0,2018,0,0,5.26,Recent,1078,6.78,67.18,72029,49.17,321
s106,In the Shadow of Giants,Movie,Peacock,Documentary,7.4,80,117.0,2022,2,2,7.64,Recent,1065,6.91,68.65,61809,3.64,360
s107,Squid Game: Revenge,TV Show,Netflix,Sci-Fi,6.3,66,,1994,98,98,6.42,Older,873,6.85,68.19,83711,48.59,303
s108,A Fragile Heart,Movie,Amazon Prime Video,Musical,6.3,71,122.0,1998,6,6,6.62,Older,96,6.72,65.12,4813,21.48,34
s109,The Morning Show,TV Show,Netflix,Documentary,6.6,66,,2012,2,2,6.6,Mid,1065,6.91,68.65,61809,3.64,360
s110,The Watchmaker,Movie,Netflix,Drama,8.2,84,110.0,1985,1,1,8.28,Older,2832,6.82,67.28,188250,20.92,853
s111,The Last Light,Movie,Netflix,Comedy,7.0,73,126.0,2026,1,1,7.12,Recent,2180,6.86,68.5,152111,20.3,694
s112,The Conductor,Movie,Disney+,Drama,8.5,84,141.0,1989,3740,3740,8.46,Older,2832,6.82,67.28,188250,20.92,853
s113,Emily in Paris,TV Show,Netflix,Drama,7.8,84,,2016,17,17,8.04,Recent,2832,6.82,67.28,188250,20.92,853
s114,The Cartographer,Movie,HBO Max,Romance,6.1,64,142.0,2014,87,87,6.22,Mid,590,6.8,67.26,45855,19.1,187
s115,In the Shadow of Giants,Movie,Disney+,Drama,5.5,62,95.0,2020,6,6,5.78,Recent,2832,6.82,67.28,188250,20.92,853
s116,Beyond the Silence,Movie,Hulu,Musical,7.9,73,74.0,2022,1,1,7.66,Recent,96,6.72,65.12,4813,21.48,34
s117,When We Were Young,Movie,Netflix,Action,7.4,86,125.0,2005,2,2,7.88,Older,1078,6.78,67.18,72029,49.17,321
s118,The Lincoln Lawyer,TV Show,Peacock,Sci-Fi,6.0,73,,2001,9,9,6.52,Older,873,6.85,68.19,83711,48.59,303
s119,Eclipse,Movie,Netflix,Crime,6.3,61,139.0,2024,4,4,6.22,Recent,1002,6.83,68.01,65679,20.92,261
s120,Wednesday,TV Show,HBO Max,Documentary,7.0,77,,2010,35,35,7.28,Mid,1065,6.91,68.65,61809,3.64,360
s121,When Night Comes,Movie,HBO Max,Comedy,6.7,77,108.0,2009,1,1,7.1,Mid,2180,6.86,68.5,152111,20.3,694
s122,In the Shadow of Giants,Movie,Netflix,Horror,5.4,46,57.0,2024,14,14,5.08,Recent,519,6.55,64.52,39706,21.33,128
s123,Beyond Redemption,Movie,Amazon Prime Video,Comedy,9.0,92,145.0,2021,142,142,9.08,Recent,2180,6.86,68.5,152111,20.3,694
s124,A Distant Memory,Movie,Amazon Prime Video,Comedy,6.0,55,140.0,2011,622,622,5.8,Mid,2180,6.86,68.5,152111,20.3,694
s125,Beyond Reality,Movie,Crunchyroll,Romance,6.1,61,132.0,2021,4,4,6.1,Recent,590,6.8,67.26,45855,19.1,187
s126,When Love Breaks,Movie,Amazon Prime Video,Documentary,8.2,82,77.0,1997,5,5,8.2,Older,1065,6.91,68.65,61809,3.64,360
s127,The Empress,TV Show,HBO Max,Anime,5.5,65,,2011,5,5,5.9,Mid,287,6.84,67.46,28260,,88
s128,The Recruit,TV Show,Netflix,Kids,5.6,47,,2026,180,180,5.24,Recent,388,6.81,67.13,28861,,114
s129,Beyond Reality,Movie,Hulu,Thriller,7.2,75,89.0,2021,3,3,7.32,Recent,1155,6.79,67.52,83691,20.39,367
s130,In the Shadow of Giants,Movie,Netflix,Romance,8.0,75,88.0,2024,4,4,7.8,Recent,590,6.8,67.26,45855,19.1,187
s131,The Last Summer,Movie,Peacock,Sci-Fi,7.9,78,139.0,2014,3,3,7.86,Mid,873,6.85,68.19,83711,48.59,303
s132,The Recruit,TV Show,Amazon Prime Video,Drama,6.4,62,,2007,48,48,6.32,Mid,2832,6.82,67.28,188250,20.92,853
s133,The Cartographer,Movie,Hulu,Drama,8.9,86,102.0,2015,113,113,8.78,Mid,2832,6.82,67.28,188250,20.92,853
s134,When We Were Young,Movie,Netflix,Horror,6.5,71,125.0,2025,0,0,6.74,Recent,519,6.55,64.52,39706,21.33,128
s135,Between Lives,Movie,JioCinema,Horror,6.3,62,140.0,2012,0,0,6.26,Mid,519,6.55,64.52,39706,21.33,128
s136,Reacher,TV Show,Netflix,Kids,6.2,50,,2011,15,15,5.72,Mid,388,6.81,67.13,28861,,114
s137,The Empress: Revenge,TV Show,Apple TV+,Thriller,7.1,69,,2025,242,242,7.02,Recent,1155,6.79,67.52,83691,20.39,367
s138,The Queen's Gambit,Movie,Amazon Prime Video,Action,7.7,86,122.0,2024,94,94,8.06,Recent,1078,6.78,67.18,72029,49.17,321
s139,The Last Dance,Movie,JioCinema,Comedy,7.9,85,97.0,2023,10,10,8.14,Recent,2180,6.86,68.5,152111,20.3,694
s140,Lupin,TV Show,Netflix,Documentary,6.8,52,,2025,52,52,6.16,Recent,1065,6.91,68.65,61809,3.64,360
s141,When Night Comes,Movie,JioCinema,Thriller,3.6,22,121.0,2010,122,122,3.04,Mid,1155,6.79,67.52,83691,20.39,367
s142,The Cartographer,Movie,Amazon Prime Video,Drama,6.8,63,111.0,2014,17,17,6.6,Mid,2832,6.82,67.28,188250,20.92,853
s143,Succession,TV Show,HBO Max,Reality TV,6.7,65,,2023,15,15,6.62,Recent,618,6.56,65.36,37974,,146
s144,Beyond Forever,Movie,Disney+,Horror,6.2,56,70.0,2025,188,188,5.96,Recent,519,6.55,64.52,39706,21.33,128
s145,A Fragile Heart,Movie,Amazon Prime Video,Crime,6.5,60,90.0,2017,6,6,6.3,Recent,1002,6.83,68.01,65679,20.92,261
s146,Only Murders,TV Show,HBO Max,Kids,7.9,72,,2026,24,24,7.62,Recent,388,6.81,67.13,28861,,114
s147,Money Heist,TV Show,Peacock,Comedy,6.9,61,,2026,21,21,6.58,Recent,2180,6.86,68.5,152111,20.3,694
s148,In the Shadow of Giants,Movie,Hulu,War,4.7,57,111.0,2026,0,0,5.1,Recent,102,6.88,68.19,7395,18.04,32
s149,Peaky Blinders,TV Show,Hulu,Anime,4.6,41,,2025,254,254,4.4,Recent,287,6.84,67.46,28260,,88
s150,The Night Agent,TV Show,Netflix,Game Show,6.3,39,,2012,20,20,5.34,Mid,139,6.78,66.91,8621,,32
s151,Beyond Reality,Movie,Disney+,Horror,6.7,55,73.0,2015,0,0,6.22,Mid,519,6.55,64.52,39706,21.33,128
s152,Beyond the Silence,Movie,Netflix,Drama,4.6,39,114.0,2001,4,4,4.32,Older,2832,6.82,67.28,188250,20.92,853
s153,Between Us,Movie,Netflix,Drama,7.7,78,118.0,2024,14,14,7.74,Recent,2832,6.82,67.28,188250,20.92,853
s154,In the Shadow of Giants,Movie,Amazon Prime Video,Comedy,6.6,65,79.0,2012,35,35,6.56,Mid,2180,6.86,68.5,152111,20.3,694
s155,The Last Witness,Movie,Amazon Prime Video,Drama,7.8,74,132.0,2016,6,6,7.64,Recent,2832,6.82,67.28,188250,20.92,853
s156,Kingdom: Revenge,TV Show,HBO Max,Drama,6.0,42,,2001,2,2,5.28,Older,2832,6.82,67.28,188250,20.92,853
s157,The Watchmaker,Movie,Netflix,Musical,6.4,50,125.0,2017,43,43,5.84,Recent,96,6.72,65.12,4813,21.48,34
s158,A Silent Echo,Movie,Amazon Prime Video,Comedy,5.9,51,88.0,2015,385,385,5.58,Mid,2180,6.86,68.5,152111,20.3,694
s159,The Lincoln Lawyer,TV Show,Netflix,Comedy,7.1,66,,2014,4,4,6.9,Mid,2180,6.86,68.5,152111,20.3,694
s160,Reacher,TV Show,Amazon Prime Video,Kids,7.9,84,,2018,14,14,8.1,Recent,388,6.81,67.13,28861,,114
s161,When We Were Young,Movie,Disney+,Sci-Fi,7.8,82,142.0,2026,7,7,7.96,Recent,873,6.85,68.19,83711,48.59,303
s162,The Night Agent,TV Show,HBO Max,Comedy,5.8,55,,2026,2,2,5.68,Recent,2180,6.86,68.5,152111,20.3,694
s163,The Boys,TV Show,HBO Max,Comedy,7.8,77,,2018,81,81,7.76,Recent,2180,6.86,68.5,152111,20.3,694
s164,The Cartographer,Movie,Disney+,Comedy,6.1,71,81.0,2022,5,5,6.5,Recent,2180,6.86,68.5,152111,20.3,694
s165,Shogun: Legacy,TV Show,Netflix,Comedy,5.3,48,,2020,12,12,5.1,Recent,2180,6.86,68.5,152111,20.3,694
s166,When You Return,Movie,Disney+,Comedy,5.6,58,143.0,1991,35,35,5.68,Older,2180,6.86,68.5,152111,20.3,694
s167,Bridgerton,TV Show,Paramount+,Reality TV,6.7,79,,2008,210,210,7.18,Mid,618,6.56,65.36,37974,,146
s168,A Fragile Heart,Movie,Hulu,Drama,6.2,47,113.0,2010,48,48,5.6,Mid,2832,6.82,67.28,188250,20.92,853
s169,The Lincoln Lawyer,TV Show,Paramount+,Kids,6.8,52,,2010,1,1,6.16,Mid,388,6.81,67.13,28861,,114
s170,Succession,TV Show,Netflix,Comedy,6.0,59,,2020,10,10,5.96,Recent,2180,6.86,68.5,152111,20.3,694
s171,Ozark: Origins,TV Show,Disney+,Reality TV,5.8,58,,2019,29,29,5.8,Recent,618,6.56,65.36,37974,,146
s172,The Diplomat,TV Show,Disney+,Comedy,7.6,88,,1983,10,10,8.08,Older,2180,6.86,68.5,152111,20.3,694
s173,Eclipse,Movie,Amazon Prime Video,Drama,7.3,73,133.0,2026,263,263,7.3,Recent,2832,6.82,67.28,188250,20.92,853
s174,A Quiet Place,Movie,Hulu,Crime,8.0,89,131.0,2022,205,205,8.36,Recent,1002,6.83,68.01,65679,20.92,261
s175,Wednesday,TV Show,Hulu,Drama,8.3,87,,2015,22,22,8.46,Mid,2832,6.82,67.28,188250,20.92,853
s176,The Lincoln Lawyer,TV Show,Amazon Prime Video,Reality TV,5.7,68,,2024,55,55,6.14,Recent,618,6.56,65.36,37974,,146
s177,In the Shadow of Giants,Movie,Peacock,Action,6.0,56,128.0,2015,5,5,5.84,Mid,1078,6.78,67.18,72029,49.17,321
s178,The Marvelous Mrs,TV Show,Amazon Prime Video,Game Show,6.5,65,,2023,1,1,6.5,Recent,139,6.78,66.91,8621,,32
s179,Between Lines,Movie,Amazon Prime Video,Action,7.8,85,98.0,1980,6,6,8.08,,1078,6.78,67.18,72029,49.17,321
s180,Kingdom: Uprising,TV Show,Apple TV+,Drama,5.8,56,,2020,143,143,5.72,Recent,2832,6.82,67.28,188250,20.92,853
s181,The Watchmaker,Movie,Paramount+,Action,8.4,95,104.0,2022,12,12,8.84,Recent,1078,6.78,67.18,72029,49.17,321
s182,The Morning Show,TV Show,HBO Max,Comedy,5.5,63,,2022,3,3,5.82,Recent,2180,6.86,68.5,152111,20.3,694
s183,In the Shadow of Giants,Movie,Netflix,Sci-Fi,7.8,63,137.0,2025,4,4,7.2,Recent,873,6.85,68.19,83711,48.59,303
s184,The Conductor,Movie,Hulu,Romance,4.5,40,89.0,2025,10,10,4.3,Recent,590,6.8,67.26,45855,19.1,187
s185,The Witcher: Origins,TV Show,Amazon Prime Video,Drama,8.3,88,,2024,76,76,8.5,Recent,2832,6.82,67.28,188250,20.92,853
s186,A Dark Mirror,Movie,Netflix,Animation,7.1,63,108.0,2023,10,10,6.78,Recent,876,6.8,67.75,72738,52.61,267
s187,When We Were Young,Movie,Disney+,Drama,7.6,73,84.0,2022,54,54,7.48,Recent,2832,6.82,67.28,188250,20.92,853
s188,When Night Comes,Movie,Disney+,Action,8.5,73,127.0,2014,1,1,8.02,Mid,1078,6.78,67.18,72029,49.17,321
s189,A Silent Echo,Movie,Amazon Prime Video,Drama,3.8,37,143.0,2026,89,89,3.76,Recent,2832,6.82,67.28,188250,20.92,853
s190,Between Lines,Movie,Disney+,Horror,6.3,59,107.0,2022,0,0,6.14,Recent,519,6.55,64.52,39706,21.33,128
s191,The Cartographer,Movie,Netflix,Romance,5.6,62,114.0,2017,103,103,5.84,Recent,590,6.8,67.26,45855,19.1,187
s192,The Night Agent,TV Show,Amazon Prime Video,Drama,7.4,71,,2022,2,2,7.28,Recent,2832,6.82,67.28,188250,20.92,853
s193,Paradox,Movie,Apple TV+,Animation,5.8,69,93.0,2014,28,28,6.24,Mid,876,6.8,67.75,72738,52.61,267
s194,The Last Dance,Movie,Netflix,Crime,7.8,77,107.0,2010,146,146,7.76,Mid,1002,6.83,68.01,65679,20.92,261
s195,The Lincoln Lawyer: Origins,TV Show,Netflix,Comedy,7.0,78,,2023,1,1,7.32,Recent,2180,6.86,68.5,152111,20.3,694
s196,When You Return,Movie,Amazon Prime Video,Comedy,7.7,73,120.0,2015,0,0,7.54,Mid,2180,6.86,68.5,152111,20.3,694
s197,Beyond Reality,Movie,Hulu,Fantasy,5.9,67,94.0,2017,22,22,6.22,Recent,286,6.76,67.0,13827,49.88,83
s198,When We Were Young,Movie,Amazon Prime Video,Comedy,6.7,71,111.0,2004,0,0,6.86,Older,2180,6.86,68.5,152111,20.3,694
